"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jansi-3.30.6.jar (shaded: org.jline:jansi-core:3.30.6),/home/runner/.m2/repository/org/jline/jansi/3.30.6/jansi-3.30.6.jar/META-INF/maven/org.jline/jansi-core/pom.xml,"","",196caffbfe94ec7e1a11041a7b3e735a,afc33af36000d1934e88c17ea016f7009e9522bb,pkg:maven/org.jline/jansi-core@3.30.6,cpe:2.3:a:jline:jline:3.30.6:*:*:*:*:*:*:*,CVE-2026-56740,CWE-400 Uncontrolled Resource Consumption,"JLine is a Java library for handling console input. Prior to 3.30.14, 4.0.16, and 4.2.1, the JLine3 Telnet server remote-telnet module does not limit the number of environment variables a client may inject via the Telnet NEW-ENVIRON option, and TelnetIO.readNEVariables() in TelnetIO.java:1127-1180 stores each variable pair in a HashMap held by ConnectionData, allowing an unauthenticated attacker to flood unique variable pairs before the terminating IAC SE byte and exhaust JVM heap memory with an OutOfMemoryError. This issue is fixed in versions 3.30.14, 4.0.16, and 4.2.1.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,9,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jansi-3.30.6.jar (shaded: org.jline:jansi-core:3.30.6),/home/runner/.m2/repository/org/jline/jansi/3.30.6/jansi-3.30.6.jar/META-INF/maven/org.jline/jansi-core/pom.xml,"","",196caffbfe94ec7e1a11041a7b3e735a,afc33af36000d1934e88c17ea016f7009e9522bb,pkg:maven/org.jline/jansi-core@3.30.6,cpe:2.3:a:jline:jline:3.30.6:*:*:*:*:*:*:*,CVE-2026-56741,CWE-400 Uncontrolled Resource Consumption,"JLine is a Java library for handling console input. Prior to 3.30.14, 4.0.16, and 4.2.1, the JLine3 Telnet server remote-telnet module does not apply an upper bound to terminal dimensions received via the Telnet NAWS option, and TelnetIO.handleNAWS() in TelnetIO.java:856-879 reads client-supplied width and height as 16-bit unsigned integers and passes values such as 65535x65535 to setTerminalGeometry(), allowing an unauthenticated remote attacker to repeatedly alternate values and trigger continuous expensive rendering work that causes CPU exhaustion and denial of service. This issue is fixed in versions 3.30.14, 4.0.16, and 4.2.1.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,9,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jansi-3.30.6.jar,/home/runner/.m2/repository/org/jline/jansi/3.30.6/jansi-3.30.6.jar,JLine,The BSD License: https://opensource.org/licenses/BSD-3-Clause,2cadda409fa8cf5d7f9c7fcc78046c14,80e9cbb4db1bb9f81d41b2ba3a4c27fda028e22a,pkg:maven/org.jline/jansi@3.30.6,cpe:2.3:a:jline:jline:3.30.6:*:*:*:*:*:*:*,CVE-2026-56740,CWE-400 Uncontrolled Resource Consumption,"JLine is a Java library for handling console input. Prior to 3.30.14, 4.0.16, and 4.2.1, the JLine3 Telnet server remote-telnet module does not limit the number of environment variables a client may inject via the Telnet NEW-ENVIRON option, and TelnetIO.readNEVariables() in TelnetIO.java:1127-1180 stores each variable pair in a HashMap held by ConnectionData, allowing an unauthenticated attacker to flood unique variable pairs before the terminating IAC SE byte and exhaust JVM heap memory with an OutOfMemoryError. This issue is fixed in versions 3.30.14, 4.0.16, and 4.2.1.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,34,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jansi-3.30.6.jar,/home/runner/.m2/repository/org/jline/jansi/3.30.6/jansi-3.30.6.jar,JLine,The BSD License: https://opensource.org/licenses/BSD-3-Clause,2cadda409fa8cf5d7f9c7fcc78046c14,80e9cbb4db1bb9f81d41b2ba3a4c27fda028e22a,pkg:maven/org.jline/jansi@3.30.6,cpe:2.3:a:jline:jline:3.30.6:*:*:*:*:*:*:*,CVE-2026-56741,CWE-400 Uncontrolled Resource Consumption,"JLine is a Java library for handling console input. Prior to 3.30.14, 4.0.16, and 4.2.1, the JLine3 Telnet server remote-telnet module does not apply an upper bound to terminal dimensions received via the Telnet NAWS option, and TelnetIO.handleNAWS() in TelnetIO.java:856-879 reads client-supplied width and height as 16-bit unsigned integers and passes values such as 65535x65535 to setTerminalGeometry(), allowing an unauthenticated remote attacker to repeatedly alternate values and trigger continuous expensive rendering work that causes CPU exhaustion and denial of service. This issue is fixed in versions 3.30.14, 4.0.16, and 4.2.1.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,34,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jetty-io-9.4.58.v20250814.jar,/home/runner/.m2/repository/org/eclipse/jetty/jetty-io/9.4.58.v20250814/jetty-io-9.4.58.v20250814.jar,Jetty module for Jetty :: IO Utility,"http://www.apache.org/licenses/LICENSE-2.0, https://www.eclipse.org/org/documents/epl-v10.php",e0a82e5c51fbecba26a129c886be9c1b,e198dae4d91fa79d9c1e2e039870d49c487c45cf,pkg:maven/org.eclipse.jetty/jetty-io@9.4.58.v20250814,"cpe:2.3:a:eclipse:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:jetty:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:mortbay_jetty:jetty:9.4.58:20250814:*:*:*:*:*:*",CVE-2026-2332,CWE-444 Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"In Eclipse Jetty, the HTTP/1.1 parser is vulnerable to request smuggling when chunk extensions are used, similar to the ""funky chunks"" techniques outlined here:   *  https://w4ke.info/2025/06/18/funky-chunks.html    *  https://w4ke.info/2025/10/29/funky-chunks-2.html   Jetty terminates chunk extension parsing at \r\n inside quoted strings instead of treating this as an error.     POST / HTTP/1.1 Host: localhost Transfer-Encoding: chunked  1;ext=""val X 0  GET /smuggled HTTP/1.1 ...      Note how the chunk extension does not close the double quotes, and it is able to inject a smuggled request.",NVD,"","","",CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N/E:3.9/RC:R/MAV:A,"","","",HIGH,36,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jetty-io-9.4.58.v20250814.jar,/home/runner/.m2/repository/org/eclipse/jetty/jetty-io/9.4.58.v20250814/jetty-io-9.4.58.v20250814.jar,Jetty module for Jetty :: IO Utility,"http://www.apache.org/licenses/LICENSE-2.0, https://www.eclipse.org/org/documents/epl-v10.php",e0a82e5c51fbecba26a129c886be9c1b,e198dae4d91fa79d9c1e2e039870d49c487c45cf,pkg:maven/org.eclipse.jetty/jetty-io@9.4.58.v20250814,"cpe:2.3:a:eclipse:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:jetty:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:mortbay_jetty:jetty:9.4.58:20250814:*:*:*:*:*:*",CVE-2026-10050,"CWE-303 Incorrect Implementation of Authentication Algorithm, CWE-173 Improper Handling of Alternate Encoding","In Eclipse Jetty, the Digest authentication server-side component uses ISO-8859-1 to encode the password as bytes.    This was done because the initial specification for HTTP did not specify explicitly a charset, and it was assumed to be ISO-8859-1 for historical reasons.    If the password contains characters that cannot be represented in ISO-8859-1, they are silently replaced by `?`. This happens with passwords that contain Chinese, Cyrillic or Greek characters, for example: `αβ123` converts to `??123`.    An attacker can send a request with a digest `Authorization` header crafted with a password made of only `?` characters; the server would match any password of the same length that contains non-ISO-8859-1 characters.    Recent HTTP Digest [RFC-7616](https://datatracker.ietf.org/doc/html/rfc7616) supports a `charset` parameters that defaults to UTF-8 that allows for correct encoding/decoding of passwords.",NVD,"","","",CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H/E:3.9/RC:R/MAV:A,HIGH,8.7,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:N/V:X/RE:X/U:X,HIGH,36,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jetty-io-9.4.58.v20250814.jar,/home/runner/.m2/repository/org/eclipse/jetty/jetty-io/9.4.58.v20250814/jetty-io-9.4.58.v20250814.jar,Jetty module for Jetty :: IO Utility,"http://www.apache.org/licenses/LICENSE-2.0, https://www.eclipse.org/org/documents/epl-v10.php",e0a82e5c51fbecba26a129c886be9c1b,e198dae4d91fa79d9c1e2e039870d49c487c45cf,pkg:maven/org.eclipse.jetty/jetty-io@9.4.58.v20250814,"cpe:2.3:a:eclipse:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:jetty:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:mortbay_jetty:jetty:9.4.58:20250814:*:*:*:*:*:*",CVE-2026-5795,"CWE-226 Sensitive Information in Resource Not Removed Before Reuse, CWE-287 Improper Authentication","In Eclipse Jetty, the class JASPIAuthenticator initiates the authentication checks, which set two ThreadLocal variable.   Upon returning from the initial checks, there are conditions that cause an early return from the JASPIAuthenticator code without clearing those ThreadLocals.   A subsequent request using the same thread inherits the ThreadLocal values, leading to a broken access control and privilege escalation.",NVD,"","","",HIGH,7.4,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N/E:2.2/RC:R/MAV:A,"","","",HIGH,36,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jetty-io-9.4.58.v20250814.jar,/home/runner/.m2/repository/org/eclipse/jetty/jetty-io/9.4.58.v20250814/jetty-io-9.4.58.v20250814.jar,Jetty module for Jetty :: IO Utility,"http://www.apache.org/licenses/LICENSE-2.0, https://www.eclipse.org/org/documents/epl-v10.php",e0a82e5c51fbecba26a129c886be9c1b,e198dae4d91fa79d9c1e2e039870d49c487c45cf,pkg:maven/org.eclipse.jetty/jetty-io@9.4.58.v20250814,"cpe:2.3:a:eclipse:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:jetty:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:mortbay_jetty:jetty:9.4.58:20250814:*:*:*:*:*:*",CVE-2025-11143,CWE-20 Improper Input Validation,"The Jetty URI parser has some key differences to other common parsers when evaluating invalid or unusual URIs. Differential parsing of URIs in systems using multiple components may result in security by-pass. For example a component that enforces a black list may interpret the URIs differently from one that generates a response. At the very least, differential parsing may divulge implementation details.",NVD,"","","",MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N/E:3.9/RC:R/MAV:A,"","","",HIGH,36,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",jetty-io-9.4.58.v20250814.jar,/home/runner/.m2/repository/org/eclipse/jetty/jetty-io/9.4.58.v20250814/jetty-io-9.4.58.v20250814.jar,Jetty module for Jetty :: IO Utility,"http://www.apache.org/licenses/LICENSE-2.0, https://www.eclipse.org/org/documents/epl-v10.php",e0a82e5c51fbecba26a129c886be9c1b,e198dae4d91fa79d9c1e2e039870d49c487c45cf,pkg:maven/org.eclipse.jetty/jetty-io@9.4.58.v20250814,"cpe:2.3:a:eclipse:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:jetty:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:mortbay_jetty:jetty:9.4.58:20250814:*:*:*:*:*:*",CVE-2026-6790,CWE-20 Improper Input Validation,"In Eclipse Jetty, for HTTP/1, HTTP/2 and HTTP/3 requests, there is no strict check that the request authority (host and port) matches what provided in the Host header (if present).     This was not enforced in earlier HTTP RFC (for example, in RFC 2616), but it is in the latest RFC (9110 and 9112).     This mismatch can cause a number of problems that may be classified as vulnerabilities such as:      *                  URI constructions (for example, for redirects -- this is typical for login pages)    *                  Virtual host selection    *                  Reverse proxying    *                  Misleading logs    *                  Etc.       Given that the latest RFCs require that request authority and Host header must match, Jetty should enforce this invariant.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N/E:3.9/RC:R/MAV:A,"","","",HIGH,36,"","","","","","","",""
com.github.pmonks/bvpbot 1.0.20260825,"Tue, 25 Aug 2026 05:01:58 GMT",websocket-client-9.4.58.v20250814.jar,/home/runner/.m2/repository/org/eclipse/jetty/websocket/websocket-client/9.4.58.v20250814/websocket-client-9.4.58.v20250814.jar,Jetty module for Jetty :: Websocket :: Client,"http://www.apache.org/licenses/LICENSE-2.0, https://www.eclipse.org/org/documents/epl-v10.php",0e6e61895792fcba7584a46b45995b2d,def27af0dc52086738483191761bd8edd08ff625,pkg:maven/org.eclipse.jetty.websocket/websocket-client@9.4.58.v20250814,"cpe:2.3:a:eclipse:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:jetty:jetty:9.4.58:20250814:*:*:*:*:*:*, cpe:2.3:a:mortbay_jetty:jetty:9.4.58:20250814:*:*:*:*:*:*",CVE-2026-2332,CWE-444 Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"In Eclipse Jetty, the HTTP/1.1 parser is vulnerable to request smuggling when chunk extensions are used, similar to the ""funky chunks"" techniques outlined here:   *  https://w4ke.info/2025/06/18/funky-chunks.html    *  https://w4ke.info/2025/10/29/funky-chunks-2.html   Jetty terminates chunk extension parsing at \r\n inside quoted strings instead of treating this as an error.     POST / HTTP/1.1 Host: localhost Transfer-Encoding: chunked  1;ext=""val X 0  GET /smuggled HTTP/1.1 ...      Note how the chunk extension does not close the double quotes, and it is able to inject a smuggled request.",NVD,"","","",CRITICAL,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N/E:3.9/RC:R/MAV:A,"","","",HIGH,38,"","","","","","","",""
